user_id,COUNTA of user_id,,user_id,COUNTA of user_id
U041,7,,U041,7
U029,7,,U029,7
U006,7,,U006,7
U045,5,,U045,5
U043,5,,U043,5
U025,5,,U025,5
U016,5,,U016,5
U007,5,,U007,5
U004,5,,U004,5
U046,4,,U046,4
U042,4,,,
U040,4,,,
U031,4,,,
U024,4,,,
U022,4,,,
U020,4,,,
U018,4,,,
U009,4,,,
U005,4,,,
U049,3,,,
U048,3,,,
U047,3,,,
U032,3,,,
U027,3,,,
U026,3,,,
U021,3,,,
U014,3,,,
U001,3,,,
U050,2,,,
U039,2,,,
U035,2,,,
U034,2,,,
U030,2,,,
U023,2,,,
U019,2,,,
U017,2,,,
U012,2,,,
U011,2,,,
U010,2,,,
U008,2,,,
U003,2,,,
U037,1,,,
U036,1,,,
U033,1,,,
U028,1,,,
U015,1,,,
U002,1,,,